Thread,Profile,Count,TotalTime,Min,Max,Avg
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<HighVoltageBridge>::BeforeUpdate,36630,2.52237,0,0.000512,6.88607e-05
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<AngularVelocitySensor>::BeforeUpdate,6660,0.763648,0,0.000512,0.000114662
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<RTG>::BeforeUpdate,1092906,63.2184,0,0.01536,5.78443e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<BigFluidTank>::AfterUpdate,8658,0.611072,0,0.000768,7.05789e-05
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<Crafter>::Update,8658,6.7136,0,0.00768,0.000775422
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<BigThruster>::BeforeUpdate,3996,0.322816,0,0.000512,8.07848e-05
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<OwnerPad>::BeforeUpdate,23310,920.331,0.029184,0.235264,0.0394823
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<SpeedSensor>::Update,8658,6.25562,0,0.003072,0.000722524
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<Electrolyser>::BeforeUpdate,15318,1.31917,0,0.000512,8.61188e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<ItemConveyor>::AfterUpdate,7992,0.582144,0,0.000512,7.28408e-05
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<SpotLight>::Update,59274,21.1402,0,0.035328,0.000356653
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate,666,9331.08,12.2043,19.8244,14.0106
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<FluidValve>::AfterUpdate,7326,0.493312,0,0.000256,6.73372e-05
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<HighVoltageRelay>::Update,29304,6.36902,0,0.001536,0.000217343
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<MiningDrill>::AfterUpdate,15318,220.933,0.010496,0.055552,0.0144231
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<DataJunction>::BeforeUpdate,39294,2.61453,0,0.000512,6.65376e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<SmallFluidTank>::AfterUpdate,6660,0.456704,0,0.001024,6.85742e-05
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<Dashboard>::BeforeUpdate,446886,26.7579,0,0.015872,5.98763e-05
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<SmallWheel>::BeforeUpdate,14652,1.36218,0,0.000768,9.29686e-05
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<SmallHinge>::BeforeUpdate,4662,0.39552,0,0.000512,8.48391e-05
ServerLoop,ServerUpdate->ForEachModule::Server_BeforeUpdate,17316,52.8271,0,0.43136,0.00305077
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<SmallTurboPump>::BeforeUpdate,9990,0.888832,0,0.000512,8.89722e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<ToggleButton>::AfterUpdate,81252,5.47814,0,0.000768,6.74217e-05
ServerLoop,ServerUpdate,666,26595.5,35.2279,55.4068,39.9332
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<LowVoltageJunction>::BeforeUpdate,117882,7.61421,0,0.00128,6.45918e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<MiniComputer>::AfterUpdate,29304,2.13453,0,0.000768,7.28408e-05
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<TrashCan>::Update,5328,0.989696,0,0.001024,0.000185754
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<LowVoltageRelay>::BeforeUpdate,13986,0.956928,0,0.000768,6.84204e-05
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<Router>::BeforeUpdate,17982,1.72262,0,0.001536,9.57971e-05
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<HighVoltageBattery>::BeforeUpdate,309024,20.3758,0,0.085248,6.5936e-05
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<SpotLight>::BeforeUpdate,59274,4.90547,0,0.037632,8.27593e-05
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<MagicCube>::BeforeUpdate,666,0.086528,0,0.000512,0.000129922
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<Bobblehead>::AfterUpdate,2664,0.190976,0,0.000512,7.16877e-05
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<PowerConverter>::Update,103896,7.1255,0,0.007168,6.8583e-05
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<Aileron>::BeforeUpdate,31302,2.7223,0,0.000768,8.6969e-05
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<DockableDoor>::BeforeUpdate->XenonScreen::Update _dirty,666,1.13997,0.00128,0.003072,0.00171166
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<OwnerPad>::Update,23310,2.16525,0,0.000768,9.28892e-05
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<FluidValve>::Update,7326,0.580608,0,0.01664,7.92531e-05
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<MiningDrill>::BeforeUpdate,15318,1.43642,0,0.009984,9.37731e-05
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<SmallPivot>::Update,26640,26.3288,0.000256,0.005376,0.00098832
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<Wheel>::AfterUpdate,41292,2.72691,0,0.007424,6.60397e-05
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<LowVoltageRelay>::Update,13986,3.13651,0,0.019968,0.000224261
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<Beacon>::BeforeUpdate,33966,3.32928,0,0.001024,9.8018e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<Electrolyser>::AfterUpdate,15318,1.0688,0,0.000512,6.97741e-05
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<SmallTurboPump>::Update,9990,5.39059,0,0.002816,0.000539599
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<FluidBridge>::BeforeUpdate,22644,1.41491,0,0.001024,6.24851e-05
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<Lamp>::BeforeUpdate,61938,4.67226,0,0.001024,7.54344e-05
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<ItemConveyor>::BeforeUpdate,7992,0.866304,0,0.008192,0.000108396
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<MiningDrill>::Update,15318,1.2695,0,0.000512,8.28766e-05
ServerLoop,Send->SaveWorld->Terminal Sync Compress,15,7.73248,0.15104,0.729344,0.515499
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<DockableDoor>::Update,666,0.06656,0,0.000256,9.99399e-05
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<Buzzer>::Update,10656,3.39738,0,0.036352,0.000318823
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<Crusher>::BeforeUpdate,7992,0.811776,0,0.000512,0.000101574
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<Computer>::Update,8658,0.643584,0,0.000512,7.4334e-05
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<Container>::BeforeUpdate,27972,2.96422,0,0.000768,0.000105971
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<Computer>::BeforeUpdate,8658,1271.64,0.066816,0.747008,0.146874
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<Avatar>::Update,666,1.43718,0.001536,0.008192,0.00215793
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<Dashboard>::Update->XenonScreen::Update _dirty,44622,212.586,0,0.097792,0.00476415
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<LowVoltageBridge>::BeforeUpdate,33966,2.32858,0,0.001024,6.85561e-05
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<DockableDoor>::BeforeUpdate,666,33.1003,0.041728,0.104704,0.0497001
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<Container>::Update,27972,50.2623,0,0.096768,0.00179688
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->BaseEntity::Update,3770226,202.779,0,0.02816,5.37844e-05
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<PushButton>::BeforeUpdate,11988,0.952064,0,0.000768,7.94181e-05
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<SmallFluidTank>::BeforeUpdate,6660,0.595712,0,0.000768,8.94462e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<ItemJunction>::AfterUpdate,19980,1.30637,0,0.000768,6.53838e-05
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<Bobblehead>::BeforeUpdate,2664,0.283904,0,0.006912,0.000106571
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update,3770226,7461.26,0.000512,0.407296,0.001979
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<OreScanner>::Update,9324,117.444,0.000256,0.40448,0.0125959
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<FluidBridge>::AfterUpdate,22644,1.45741,0,0.013824,6.43618e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<HighVoltageBattery>::AfterUpdate,309024,19.081,0,0.01024,6.17459e-05
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::RefreshCache,3770226,309.767,0,0.10496,8.21615e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<Crusher>::AfterUpdate,7992,0.57728,0,0.000512,7.22322e-05
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<SolarPanel>::Update,452880,195.109,0,0.057344,0.000430819
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<LowVoltageRelay>::AfterUpdate,13986,0.92416,0,0.000512,6.60775e-05
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<ToggleButton>::Update,81252,66.0521,0,0.021248,0.000812929
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<GroundAnchor>::Update,17316,4.88474,0,0.009728,0.000282094
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<PilotSeat>::AfterUpdate,28638,2.03776,0,0.000512,7.11558e-05
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<RTG>::Update,1092906,675.546,0,0.124416,0.000618119
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<AltitudeSensor>::BeforeUpdate,3330,0.315136,0,0.000512,9.46354e-05
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<Electrolyser>::Update,15318,42.6004,0,0.024576,0.00278107
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<SpeedSensor>::AfterUpdate,8658,0.659712,0,0.000768,7.61968e-05
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<ThrottleLever>::Update,11322,5.51398,0,0.002304,0.000487015
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<FluidPort>::AfterUpdate,19980,1.42003,0,0.000512,7.10727e-05
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<AngularVelocitySensor>::Update,6660,8.19482,0,0.016384,0.00123045
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<LowVoltageJunction>::Update,117882,10.1082,0,0.001024,8.57481e-05
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<LowVoltageBattery>::Update,43956,52.5268,0,0.17152,0.00119499
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<HighVoltageBattery>::Update,309024,287.038,0,0.073984,0.000928855
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<Router>::Update,17982,1.31558,0,0.000768,7.31612e-05
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<Avatar>::AfterUpdate,666,0.161024,0,0.001024,0.000241778
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<SolarSensor>::BeforeUpdate,6660,9.81299,0.000768,0.005632,0.00147342
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<MiniComputer>::Update,29304,2.28429,0,0.001024,7.79514e-05
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<ItemBridge>::BeforeUpdate,13986,1.10362,0,0.000768,7.89086e-05
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<SmallWheel>::Update,14652,22.4924,0.000256,0.016128,0.00153511
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<ThrottleLever>::BeforeUpdate,11322,0.899072,0,0.000512,7.94093e-05
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<NavInstrument>::Update,5994,9.27027,0,0.033536,0.00154659
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<SmallHinge>::AfterUpdate,4662,2.37875,0,0.001792,0.000510243
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<SolarSensor>::Update,6660,5.05984,0,0.003584,0.000759736
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<Beacon>::Update,33966,41.4746,0,0.019712,0.00122106
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<RTG>::AfterUpdate,1092906,64.3466,0,0.008192,5.88766e-05
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<Numpad>::BeforeUpdate,3996,220.333,0.043008,0.168448,0.0551385
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<PushButton>::Update,11988,6.40435,0,0.003328,0.00053423
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<MiniRouter>::Update,17982,1.2823,0,0.000512,7.13104e-05
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<ItemJunction>::Update,19980,1.60691,0,0.000512,8.0426e-05
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<Lamp>::Update,61938,18.5774,0,0.011776,0.000299936
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<Crusher>::Update,7992,2.17498,0,0.007168,0.000272144
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<DockingPort>::Update,11988,1.0432,0,0.007424,8.70204e-05
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<PilotSeat>::Update,28638,35.564,0,0.018176,0.00124185
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<TerrainScanner>::Update,6660,39.6209,0,0.122368,0.00594908
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<Wheel>::Update,41292,73.9384,0.000512,0.023296,0.00179062
ServerLoop,ServerUpdate->ForEachEntity::BeforeUpdate->Entity<FluidJunction>::BeforeUpdate,44622,2.92454,0,0.000768,6.55404e-05
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<Aileron>::Update,31302,15.232,0,0.012544,0.000486614
ServerLoop,ServerUpdate->ForEachEntity::AfterUpdate->Entity<ThrottleLever>::AfterUpdate,11322,0.785664,0,0.000512,6.93927e-05
ServerLoop,ServerUpdate->ForEachEntity::Update->ServerSideEntity::Update->Entity<HighVoltageJunction>::Update,56610,5.19066,0,0.000512,9.16915e-05
thread 3,BaseEntity::Update,5724180,374.791,0,0.029952,6.5475e-05
